date,start_time,expt_num,net_pen,treatment,obs_num,elapsed_time,time_between,obs,by,on,comment
28-Apr,17:40,3,A,Lice,8,02:25.1,00:53.5,AT,M/S,,
28-Apr,17:40,3,A,Lice,9,02:48.1,00:23.0,AT,M/M,,
28-Apr,17:40,3,A,Lice,10,03:24.6,00:36.5,AT,M/S,,
28-Apr,17:40,3,A,Lice,11,04:01.4,00:36.9,AT,M/S,,
28-Apr,17:40,3,A,Lice,12,04:46.5,00:45.1,AT,S/S,,
28-Apr,17:40,3,A,Lice,13,05:14.5,00:27.9,S,M,G,
28-Apr,17:40,3,A,Lice,14,05:24.7,00:10.2,C,L,G,
28-Apr,17:40,3,A,Lice,15,06:54.1,01:29.4,S,,G,
28-Apr,17:40,3,A,Lice,16,07:37.2,00:43.1,AT,M/S,,
28-Apr,17:40,3,A,Lice,17,08:16.3,00:39.1,S,G,G,
28-Apr,17:40,3,A,Lice,18,08:21.7,00:05.3,C,S,G,
28-Apr,17:40,3,A,Lice,19,08:37.8,00:16.1,C,S,I,
28-Apr,17:40,3,A,Lice,20,09:01.1,00:23.3,AT,M/S,,
28-Apr,17:40,3,A,Lice,21,09:14.1,00:13.0,AT,M/S,,
28-Apr,17:40,3,A,Lice,22,09:27.3,00:13.2,AT,L/S,,
28-Apr,17:40,3,A,Lice,23,09:34.6,00:07.3,AT,L/S,,
28-Apr,17:40,3,A,Lice,24,09:43.2,00:08.6,S,G,G,
28-Apr,17:40,3,A,Lice,25,09:53.7,00:10.6,S,G,G,
28-Apr,17:40,3,A,Lice,26,10:05.5,00:11.8,C,M,I,
28-Apr,17:40,3,A,Lice,27,10:17.9,00:12.4,S,M,I,
28-Apr,17:40,3,A,Lice,28,10:29.5,00:11.6,AT,L/S,,
28-Apr,17:40,3,A,Lice,29,10:37.9,00:08.5,S,L,I,
28-Apr,17:40,3,A,Lice,31,11:07.8,00:29.7,S,S,I,
28-Apr,17:40,3,A,Lice,32,11:30.7,00:22.9,L,M,,
28-Apr,17:40,3,A,Lice,33,12:01.5,00:30.8,S,S,I,
28-Apr,17:40,3,A,Lice,34,12:08.3,00:06.7,S,S,I,
28-Apr,17:40,3,A,Lice,35,12:47.0,00:38.7,S,M,I,
28-Apr,17:40,3,A,Lice,36,13:25.2,00:38.2,S,L,I,
28-Apr,17:40,3,A,Lice,37,13:30.6,00:05.4,C,S,I,
28-Apr,17:40,3,A,Lice,38,14:21.9,00:51.3,C,S,I,
28-Apr,17:40,3,A,Lice,39,14:39.7,00:17.8,S,S,I,
28-Apr,17:40,3,A,Lice,40,14:42.4,00:02.7,C,M,I,
28-Apr,17:40,3,A,Lice,41,14:44.9,00:02.5,L,M,I,
28-Apr,17:40,3,A,Lice,42,15:22.3,00:37.3,AT,L/S,,
28-Apr,17:40,3,A,Lice,43,15:39.3,00:17.1,S,S,I,
28-Apr,17:40,3,A,Lice,44,17:20.1,01:40.7,C,M,I,
28-Apr,17:40,3,A,Lice,45,17:33.8,00:13.8,C,M,I,
28-Apr,17:40,3,A,Lice,46,18:14.9,00:41.1,S,S,I,
28-Apr,17:40,3,A,Lice,47,18:24.0,00:09.1,AT,L/M,,
28-Apr,17:40,3,A,Lice,48,18:32.1,00:08.0,AT,M/S,,
28-Apr,17:40,3,A,Lice,49,18:54.8,00:22.7,S,S,I,
28-Apr,17:40,3,A,Lice,50,19:03.8,00:09.0,AT,L/S,,
28-Apr,17:40,3,A,Lice,51,19:09.4,00:05.6,L,S,,
28-Apr,17:40,3,A,Lice,52,19:55.6,00:46.3,C,S,I,
28-Apr,17:40,3,A,Lice,53,20:06.4,00:10.8,S,M,I,
28-Apr,17:40,3,A,Lice,54,20:07.9,00:01.4,L,S,,
28-Apr,17:40,3,A,Lice,55,20:31.7,00:23.8,S,L,I,
28-Apr,17:40,3,A,Lice,56,20:44.1,00:12.4,C,L,I,
28-Apr,17:40,3,A,Lice,57,20:55.8,00:11.7,C,M,I,
28-Apr,17:40,3,A,Lice,58,21:03.1,00:07.4,L,M,,
28-Apr,17:40,3,A,Lice,59,21:11.8,00:08.7,C,S,I,
28-Apr,17:40,3,A,Lice,60,21:52.7,00:40.9,S,M,I,
28-Apr,17:40,3,A,Lice,61,22:03.3,00:10.6,T,M/S,,
28-Apr,17:40,3,A,Lice,62,22:18.8,00:15.4,C,S,I,
28-Apr,17:40,3,A,Lice,63,22:37.2,00:18.4,L,S,,
28-Apr,17:40,3,A,Lice,64,22:49.6,00:12.4,C,M,I,Recapture 62
28-Apr,17:40,3,A,Lice,65,23:27.6,00:38.0,L,M,,
28-Apr,17:40,3,A,Lice,66,24:26.2,00:58.6,L,S,,
28-Apr,17:40,3,A,Lice,67,25:06.1,00:39.8,C,S,I,
28-Apr,17:40,3,A,Lice,68,25:11.7,00:05.6,L,S,,67
28-Apr,17:40,3,A,Lice,69,25:48.5,00:36.8,L,S,,
28-Apr,17:40,3,A,Lice,70,25:49.5,00:01.0,C,S,,"69, same fish "
28-Apr,17:40,3,A,Lice,71,26:51.0,01:01.5,S,S,I,
28-Apr,17:40,3,A,Lice,72,27:07.3,00:16.3,S,S,I,
28-Apr,17:40,3,A,Lice,73,28:06.8,00:59.5,S,S,I,
28-Apr,17:40,3,A,Lice,74,29:06.3,00:59.6,S,S,G,
28-Apr,17:40,3,A,Lice,75,29:20.2,00:13.9,C,S,G,
28-Apr,17:40,3,A,Lice,76,29:33.7,00:13.4,L,S,,75
28-Apr,17:40,3,A,Lice,77,29:59.0,00:25.3,C,S,I,
28-Apr,17:40,3,A,Lice,78,30:08.6,00:09.7,AT,S/S,,
28-Apr,17:40,3,A,Lice,79,30:09.1,00:00.5,S,M,I,
28-Apr,17:40,3,A,Lice,80,32:22.8,02:13.7,AT,M/S,,
28-Apr,17:40,3,A,Lice,81,33:14.8,00:52.0,AT,S/S,,
28-Apr,17:40,3,A,Lice,82,34:14.0,00:59.2,AT,L/M,,
28-Apr,17:40,3,A,Lice,83,34:39.4,00:25.5,S,M,I,
28-Apr,17:40,3,A,Lice,84,35:12.7,00:33.3,S,M,I,
